name,year,injury_type,risk_score,hdc,population,collisions,injuries,collision_rate_per_100k,injury_rate_per_100k,geography
53033000100,2010,Serious Injury,46,Yes,6255,1,1,15.987210231814549,15.987210231814549,Census Tract 2010
53033000100,2011,Serious Injury,46,Yes,6194,2,2,32.289312237649334,32.289312237649334,Census Tract 2010
53033000100,2012,Serious Injury,46,Yes,6598,3,3,45.46832373446499,45.46832373446499,Census Tract 2010
53033000100,2013,Serious Injury,46,Yes,6676,2,2,29.958058717795087,29.958058717795087,Census Tract 2010
53033000100,2016,Serious Injury,46,Yes,7589,2,2,26.353933324548688,26.353933324548688,Census Tract 2010
53033000100,2017,Serious Injury,46,Yes,7899,1,1,12.659830358273199,12.659830358273199,Census Tract 2010
53033000100,2018,Serious Injury,46,Yes,7971,2,2,25.090954710826747,25.090954710826747,Census Tract 2010
53033000100,2019,Fatality,46,Yes,8098,1,1,12.348728081007657,12.348728081007657,Census Tract 2010
53033000100,2020,Serious Injury,46,Yes,3759,1,1,26.602819898909285,26.602819898909285,Census Tract 2010
53033000100,2020,Serious Injury,46,Yes,4322,1,1,23.137436372049976,23.137436372049976,Census Tract 2010
53033000100,2021,Fatality,46,Yes,4364,2,2,45.82951420714941,45.82951420714941,Census Tract 2010
53033000100,2021,Serious Injury,46,Yes,3781,1,1,26.448029621793175,26.448029621793175,Census Tract 2010
53033000100,2022,Serious Injury,46,Yes,3942,2,2,50.73566717402334,50.73566717402334,Census Tract 2010
53033000100,2022,Serious Injury,46,Yes,4334,1,1,23.073373327180434,23.073373327180434,Census Tract 2010
53033000200,2010,Serious Injury,31,No,7646,1,1,13.078733978550876,13.078733978550876,Census Tract 2010
53033000200,2011,Serious Injury,31,No,7561,1,1,13.22576378785875,13.22576378785875,Census Tract 2010
53033000200,2012,Fatality,31,No,7721,1,1,12.951690195570523,12.951690195570523,Census Tract 2010
53033000200,2014,Serious Injury,31,No,7823,3,3,38.34845967020325,38.34845967020325,Census Tract 2010
53033000200,2016,Fatality,31,No,8106,1,1,12.336540833950162,12.336540833950162,Census Tract 2010
53033000200,2016,Serious Injury,31,No,8106,2,2,24.673081667900323,24.673081667900323,Census Tract 2010
53033000200,2017,Serious Injury,31,No,8282,2,2,24.14875633904854,24.14875633904854,Census Tract 2010
53033000200,2019,Fatality,31,No,8426,1,1,11.868027533823879,11.868027533823879,Census Tract 2010
53033000200,2019,Serious Injury,31,No,8426,3,3,35.60408260147163,35.60408260147163,Census Tract 2010
53033000200,2020,Fatality,31,No,4322,1,1,23.137436372049976,23.137436372049976,Census Tract 2010
53033000200,2020,Fatality,31,No,4414,1,1,22.655188038060718,22.655188038060718,Census Tract 2010
53033000200,2020,Serious Injury,31,No,4414,2,2,45.310376076121436,45.310376076121436,Census Tract 2010
53033000200,2021,Serious Injury,31,No,4418,1,2,22.634676324128566,45.26935264825713,Census Tract 2010
53033000300,2010,Serious Injury,30,No,2603,1,1,38.417210910487896,38.417210910487896,Census Tract 2010
53033000300,2011,Serious Injury,30,No,2551,5,5,196.00156801254408,196.00156801254408,Census Tract 2010
53033000300,2012,Serious Injury,30,No,2585,2,2,77.36943907156673,77.36943907156673,Census Tract 2010
53033000300,2013,Serious Injury,30,No,2593,2,2,77.13073659853451,77.13073659853451,Census Tract 2010
53033000300,2014,Serious Injury,30,No,2601,1,1,38.446751249519416,38.446751249519416,Census Tract 2010
53033000300,2015,Serious Injury,30,No,2691,1,1,37.16090672612412,37.16090672612412,Census Tract 2010
53033000300,2017,Serious Injury,30,No,2807,1,1,35.62522265764161,35.62522265764161,Census Tract 2010
53033000300,2018,Serious Injury,30,No,2822,3,3,106.30758327427357,106.30758327427357,Census Tract 2010
53033000300,2019,Serious Injury,30,No,2822,2,2,70.87172218284904,70.87172218284904,Census Tract 2010
53033000300,2021,Serious Injury,30,No,2870,3,4,104.52961672473867,139.37282229965157,Census Tract 2010
53033000300,2022,Fatality,30,No,4378,1,1,22.841480127912288,22.841480127912288,Census Tract 2010
53033000300,2022,Serious Injury,30,No,2851,1,1,35.075412136092595,35.075412136092595,Census Tract 2010
53033000300,2022,Serious Injury,30,No,4378,1,1,22.841480127912288,22.841480127912288,Census Tract 2010
53033000401,2010,Serious Injury,45,Yes,5551,1,1,18.01477211313277,18.01477211313277,Census Tract 2010
53033000401,2013,Fatality,45,Yes,5574,1,1,17.94043774668102,17.94043774668102,Census Tract 2010
53033000401,2014,Serious Injury,45,Yes,5864,5,5,85.26603001364256,85.26603001364256,Census Tract 2010
53033000401,2015,Serious Injury,45,Yes,5996,2,2,33.3555703802535,33.3555703802535,Census Tract 2010
53033000401,2016,Serious Injury,45,Yes,6207,3,3,48.33252779120348,48.33252779120348,Census Tract 2010
53033000401,2018,Serious Injury,45,Yes,6413,2,2,31.18665211289568,31.18665211289568,Census Tract 2010
53033000401,2019,Serious Injury,45,Yes,6604,3,4,45.427013930950935,60.56935190793458,Census Tract 2010
53033000401,2020,Serious Injury,45,Yes,2817,1,1,35.49875754348598,35.49875754348598,Census Tract 2010
53033000401,2021,Fatality,45,Yes,2870,1,1,34.84320557491289,34.84320557491289,Census Tract 2010
53033000401,2021,Serious Injury,45,Yes,2870,2,3,69.68641114982579,104.52961672473867,Census Tract 2010
53033000401,2021,Serious Injury,45,Yes,3130,1,1,31.948881789137378,31.948881789137378,Census Tract 2010
53033000401,2022,Fatality,45,Yes,2851,2,2,70.15082427218519,70.15082427218519,Census Tract 2010
53033000401,2022,Serious Injury,45,Yes,2851,3,3,105.2262364082778,105.2262364082778,Census Tract 2010
53033000401,2022,Serious Injury,45,Yes,3091,1,1,32.35198964736331,32.35198964736331,Census Tract 2010
53033000402,2010,Serious Injury,25,Yes,4841,3,6,61.97066721751704,123.94133443503408,Census Tract 2010
53033000402,2012,Serious Injury,25,Yes,4805,1,1,20.81165452653486,20.81165452653486,Census Tract 2010
53033000402,2013,Serious Injury,25,Yes,4823,2,2,41.46796599626788,41.46796599626788,Census Tract 2010
53033000402,2015,Serious Injury,25,Yes,4933,1,1,20.27163997567403,20.27163997567403,Census Tract 2010
53033000402,2018,Serious Injury,25,Yes,5246,1,1,19.062142584826535,19.062142584826535,Census Tract 2010
53033000402,2020,Serious Injury,25,Yes,5176,1,1,19.319938176197837,19.319938176197837,Census Tract 2010
53033000402,2021,Serious Injury,25,Yes,5183,1,1,19.29384526336099,19.29384526336099,Census Tract 2010
53033000500,2010,Serious Injury,8,No,3165,2,2,63.19115323854661,63.19115323854661,Census Tract 2010
53033000500,2012,Serious Injury,8,No,3134,1,1,31.90810465858328,31.90810465858328,Census Tract 2010
53033000500,2013,Serious Injury,8,No,3143,1,1,31.81673560292714,31.81673560292714,Census Tract 2010
53033000500,2015,Serious Injury,8,No,3212,1,2,31.1332503113325,62.266500622665,Census Tract 2010
53033000500,2019,Serious Injury,8,No,3341,1,2,29.931158335827593,59.862316671655186,Census Tract 2010
53033000500,2021,Serious Injury,8,No,3413,1,2,29.29973630237328,58.59947260474656,Census Tract 2010
53033000600,2010,Serious Injury,35,No,7626,8,10,104.9042748492001,131.13034356150015,Census Tract 2010
